Generation,Timestep,Normalized_True_Count
0,0,0
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,8,0
0,9,0
1,0,4
1,1,4
1,2,4
1,3,5
1,4,5
1,5,5
1,6,5
1,7,5
1,8,5
1,9,5
2,0,5
2,1,5
2,2,5
2,3,5
2,4,5
2,5,5
2,6,6
2,7,6
2,8,5
2,9,5
3,0,1
3,1,1
3,2,2
3,3,3
3,4,4
3,5,5
3,6,6
3,7,5
3,8,5
3,9,4
4,0,4
4,1,4
4,2,5
4,3,5
4,4,5
4,5,6
4,6,6
4,7,6
4,8,6
4,9,6
5,0,1
5,1,1
5,2,3
5,3,3
5,4,4
5,5,4
5,6,4
5,7,5
5,8,5
5,9,5
6,0,5
6,1,5
6,2,6
6,3,6
6,4,6
6,5,6
6,6,6
6,7,6
6,8,6
6,9,6
7,0,1
7,1,2
7,2,2
7,3,2
7,4,2
7,5,2
7,6,3
7,7,3
7,8,5
7,9,4
8,0,4
8,1,4
8,2,5
8,3,5
8,4,5
8,5,5
8,6,5
8,7,5
8,8,5
8,9,5
9,0,4
9,1,4
9,2,4
9,3,4
9,4,5
9,5,5
9,6,6
9,7,7
9,8,7
9,9,7
10,0,7
10,1,7
10,2,7
10,3,8
10,4,8
10,5,8
10,6,8
10,7,7
10,8,7
10,9,7
11,0,1
11,1,1
11,2,5
11,3,6
11,4,6
11,5,6
11,6,7
11,7,6
11,8,6
11,9,5
12,0,4
12,1,4
12,2,4
12,3,5
12,4,5
12,5,6
12,6,6
12,7,8
12,8,8
12,9,8
13,0,0
13,1,0
13,2,0
13,3,1
13,4,2
13,5,4
13,6,4
13,7,5
13,8,5
13,9,5
14,0,4
14,1,4
14,2,5
14,3,5
14,4,6
14,5,6
14,6,6
14,7,6
14,8,6
14,9,6
15,0,3
15,1,4
15,2,5
15,3,5
15,4,5
15,5,6
15,6,6
15,7,7
15,8,7
15,9,7
16,0,7
16,1,7
16,2,7
16,3,7
16,4,7
16,5,7
16,6,7
16,7,7
16,8,8
16,9,8
17,0,0
17,1,0
17,2,1
17,3,1
17,4,1
17,5,1
17,6,1
17,7,2
17,8,2
17,9,2
18,0,2
18,1,2
18,2,2
18,3,2
18,4,2
18,5,3
18,6,3
18,7,4
18,8,4
18,9,3
19,0,2
19,1,2
19,2,2
19,3,2
19,4,2
19,5,3
19,6,4
19,7,5
19,8,4
19,9,4
20,0,4
20,1,4
20,2,5
20,3,5
20,4,6
20,5,6
20,6,6
20,7,5
20,8,5
20,9,5
21,0,2
21,1,2
21,2,2
21,3,2
21,4,2
21,5,2
21,6,2
21,7,4
21,8,4
21,9,4
22,0,4
22,1,5
22,2,6
22,3,6
22,4,6
22,5,7
22,6,7
22,7,7
22,8,7
22,9,7
23,0,0
23,1,0
23,2,0
23,3,1
23,4,1
23,5,1
23,6,1
23,7,1
23,8,3
23,9,4
24,0,4
24,1,4
24,2,6
24,3,6
24,4,7
24,5,7
24,6,6
24,7,6
24,8,5
24,9,5
