Generation,Timestep,Normalized_True_Count
0,0,0
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,8,0
0,9,0
1,0,0
1,1,0
1,2,2
1,3,4
1,4,5
1,5,5
1,6,5
1,7,5
1,8,5
1,9,5
2,0,5
2,1,5
2,2,6
2,3,6
2,4,6
2,5,6
2,6,6
2,7,6
2,8,6
2,9,6
3,0,5
3,1,5
3,2,3
3,3,4
3,4,4
3,5,6
3,6,6
3,7,5
3,8,4
3,9,1
4,0,2
4,1,3
4,2,6
4,3,6
4,4,6
4,5,6
4,6,7
4,7,7
4,8,7
4,9,7
5,0,4
5,1,7
5,2,7
5,3,8
5,4,8
5,5,9
5,6,9
5,7,9
5,8,9
5,9,9
6,0,9
6,1,9
6,2,9
6,3,9
6,4,9
6,5,9
6,6,9
6,7,9
6,8,9
6,9,9
7,0,7
7,1,7
7,2,8
7,3,8
7,4,8
7,5,8
7,6,8
7,7,8
7,8,8
7,9,8
8,0,8
8,1,8
8,2,8
8,3,8
8,4,8
8,5,8
8,6,8
8,7,8
8,8,8
8,9,8
9,0,6
9,1,7
9,2,8
9,3,8
9,4,8
9,5,8
9,6,8
9,7,8
9,8,8
9,9,8
10,0,8
10,1,8
10,2,8
10,3,8
10,4,8
10,5,8
10,6,8
10,7,8
10,8,9
10,9,10
11,0,8
11,1,8
11,2,9
11,3,9
11,4,9
11,5,9
11,6,7
11,7,7
11,8,7
11,9,7
12,0,7
12,1,7
12,2,8
12,3,8
12,4,10
12,5,10
12,6,10
12,7,10
12,8,10
12,9,10
13,0,9
13,1,9
13,2,9
13,3,9
13,4,9
13,5,9
13,6,9
13,7,9
13,8,9
13,9,9
14,0,9
14,1,9
14,2,9
14,3,10
14,4,10
14,5,10
14,6,10
14,7,10
14,8,10
14,9,10
15,0,8
15,1,8
15,2,8
15,3,8
15,4,8
15,5,8
15,6,8
15,7,8
15,8,8
15,9,8
16,0,8
16,1,9
16,2,10
16,3,10
16,4,10
16,5,10
16,6,10
16,7,10
16,8,10
16,9,10
17,0,7
17,1,7
17,2,9
17,3,9
17,4,9
17,5,9
17,6,10
17,7,10
17,8,10
17,9,10
18,0,10
18,1,10
18,2,10
18,3,10
18,4,10
18,5,10
18,6,10
18,7,10
18,8,10
18,9,10
19,0,8
19,1,8
19,2,9
19,3,9
19,4,10
19,5,10
19,6,10
19,7,10
19,8,10
19,9,10
20,0,10
20,1,10
20,2,10
20,3,10
20,4,10
20,5,10
20,6,10
20,7,10
20,8,10
20,9,10
21,0,7
21,1,7
21,2,9
21,3,9
21,4,9
21,5,9
21,6,9
21,7,9
21,8,9
21,9,9
22,0,9
22,1,10
22,2,10
22,3,10
22,4,10
22,5,10
22,6,10
22,7,10
22,8,10
22,9,10
23,0,9
23,1,9
23,2,9
23,3,9
23,4,9
23,5,6
23,6,6
23,7,3
23,8,3
23,9,3
24,0,2
24,1,2
24,2,4
24,3,5
24,4,8
24,5,8
24,6,9
24,7,10
24,8,10
24,9,10
